name,type,gender,religion,region,n,sources,clf_predicted_religion,clf_max_prob,human_validated
gulnaz,first,F,Muslim,ALL,313.0,ojas_list,Muslim,0.6417614136046303,False
nadia,first,F,Muslim,ALL,306.0,ojas_list,Hindu,0.9711653861306638,False
rafia,first,F,Muslim,ALL,197.0,ojas_list,Muslim,0.990888810572454,False
ambreen,first,F,Muslim,ALL,190.0,ojas_list,Hindu,0.9224653288194417,False
rukhsar,first,F,Muslim,ALL,182.0,ojas_list,Muslim,0.5423490099669068,False
nilofer,first,F,Muslim,ALL,150.0,ojas_list,Hindu,0.8707423662038887,False
humaira,first,F,Muslim,ALL,138.0,ojas_list,Hindu,0.7474613253521432,False
zara,first,F,Muslim,ALL,125.0,ojas_list,Hindu,0.8840884658550099,False
iqra,first,F,Muslim,ALL,101.0,ojas_list,Muslim,0.941432053931758,False
mohd,first,M,Muslim,ALL,162716.0,marker_list,Muslim,0.5539013533847713,False
mohammed,first,M,Muslim,ALL,135834.0,ojas_list;marker_list,Muslim,0.8891454691412127,False
sameer,first,M,Muslim,ALL,85473.0,ojas_list;marker_list,Muslim,0.9610356820844708,False
naeem,first,M,Muslim,ALL,63675.0,ojas_list;marker_list,Muslim,0.7787216783590338,False
nadeem,first,M,Muslim,ALL,58848.0,ojas_list,Hindu,0.6667012247311928,False
mohammad,first,M,Muslim,ALL,50723.0,marker_list,Sikh,0.801818549435955,False
aamir,first,M,Muslim,ALL,41673.0,ojas_list,Hindu,0.6384912614815552,False
junaid,first,M,Muslim,ALL,17121.0,ojas_list,Hindu,0.7615027809904703,False
sana,first,M,Muslim,ALL,17009.0,marker_list,Hindu,0.9998752486778666,False
ismail,first,M,Muslim,ALL,15293.0,ojas_list,Muslim,0.8196903602795812,False
faisal,first,M,Muslim,ALL,14164.0,ojas_list;marker_list,Muslim,0.8956113325970351,False
mansoor,first,M,Muslim,ALL,12451.0,ojas_list,Muslim,0.8758875417180227,False
anwar,first,M,Muslim,ALL,11094.0,ojas_list,Hindu,0.9507886721489324,False
salman,first,M,Muslim,ALL,9572.0,ojas_list;marker_list,Hindu,0.4552316283329688,False
asif,first,M,Muslim,ALL,8695.0,ojas_list;marker_list,Muslim,0.992993893556005,False
imran,first,M,Muslim,ALL,8401.0,ojas_list;marker_list,Hindu,0.8397173867376148,False
hamza,first,M,Muslim,ALL,7743.0,ojas_list,Muslim,0.9751719260015064,False
javed,first,M,Muslim,ALL,6643.0,marker_list,Hindu,0.9588780709166216,False
rashid,first,M,Muslim,ALL,6532.0,ojas_list,Hindu,0.8562551044352533,False
shahid,first,M,Muslim,ALL,6383.0,ojas_list;marker_list,Muslim,0.9747620924696112,False
wasim,first,M,Muslim,ALL,6346.0,ojas_list,Hindu,0.8258223690743355,False
jamal,first,M,Muslim,ALL,5960.0,ojas_list,Muslim,0.7820893237759595,False
irfan,first,M,Muslim,ALL,5090.0,ojas_list;marker_list,Muslim,0.922626489096084,False
arif,first,M,Muslim,ALL,4095.0,ojas_list;marker_list,Muslim,0.99576018479105,False
sultan,first,M,Muslim,ALL,3678.0,ojas_list,Muslim,0.82474606131694,False
danish,first,M,Muslim,ALL,2665.0,ojas_list,Hindu,0.8645964298375832,False
yusuf,first,M,Muslim,ALL,2172.0,ojas_list,Muslim,0.995511430745674,False
aftab,first,M,Muslim,ALL,2140.0,marker_list,Muslim,0.9796523373381568,False
yasin,first,M,Muslim,ALL,2136.0,ojas_list,Hindu,0.4223140377767221,False
rizwan,first,M,Muslim,ALL,1563.0,ojas_list;marker_list,Hindu,0.69765351792848,False
shadab,first,M,Muslim,ALL,1536.0,ojas_list,Hindu,0.9640373363825228,False
mubashir,first,M,Muslim,ALL,1392.0,ojas_list,Hindu,0.6901863806846845,False
rafiq,first,M,Muslim,ALL,1381.0,ojas_list,Muslim,0.9999079478420412,False
zubair,first,M,Muslim,ALL,1320.0,ojas_list,Hindu,0.7362639804937013,False
farhan,first,M,Muslim,ALL,1253.0,ojas_list;marker_list,Muslim,0.7657689445372715,False
bilal,first,M,Muslim,ALL,1238.0,ojas_list,Hindu,0.9804217951033204,False
ilyas,first,M,Muslim,ALL,1159.0,ojas_list,Christian,0.85724528404891,False
azhar,first,M,Muslim,ALL,1149.0,ojas_list,Hindu,0.9689357213204622,False
faizan,first,M,Muslim,ALL,1031.0,ojas_list,Muslim,0.987778714128851,False
adnan,first,M,Muslim,ALL,754.0,ojas_list,Hindu,0.9882874030656132,False
saif,first,M,Muslim,ALL,677.0,ojas_list,Muslim,0.9999264588696394,False
zeeshan,first,M,Muslim,ALL,621.0,ojas_list;marker_list,Christian,0.5189398952490204,False
sohail,first,M,Muslim,ALL,581.0,ojas_list,Hindu,0.5315275141023544,False
nawaz,first,M,Muslim,ALL,538.0,ojas_list,Hindu,0.882317146319743,False
tabrez,first,M,Muslim,ALL,295.0,ojas_list,Hindu,0.5328588035942212,False
tariq,first,M,Muslim,ALL,194.0,ojas_list;marker_list,Muslim,0.7989162856884089,False
kamran,first,M,Muslim,ALL,175.0,ojas_list;marker_list,Hindu,0.9583274873537456,False
zaid,first,M,Muslim,ALL,162.0,ojas_list,Muslim,0.9809573789649212,False
kashif,first,M,Muslim,ALL,145.0,ojas_list,Muslim,0.913009035515795,False
ehsan,first,M,Muslim,ALL,106.0,ojas_list,Hindu,0.7104971096256405,False
manju,first,F,Hindu,ALL,173589.0,ojas_list;marker_list,Hindu,0.7263930581764736,False
sunita,first,F,Hindu,ALL,98507.0,ojas_list;marker_list,Hindu,0.9863409769941248,False
radha,first,F,Hindu,ALL,97113.0,marker_list,Hindu,0.9996055970608332,False
anita,first,F,Hindu,ALL,86622.0,marker_list,Hindu,0.995047425956378,False
geeta,first,F,Hindu,ALL,70312.0,ojas_list;marker_list,Hindu,0.7614416395956556,False
pooja,first,F,Hindu,ALL,61738.0,ojas_list;marker_list,Hindu,0.8287467300857746,False
divya,first,F,Hindu,ALL,57366.0,ojas_list,Hindu,0.973984236054272,False
jyoti,first,F,Hindu,ALL,56339.0,ojas_list,Hindu,0.6588558012479082,False
deepa,first,F,Hindu,ALL,53442.0,ojas_list,Hindu,0.9829903694965058,False
anjali,first,F,Hindu,ALL,49798.0,ojas_list,Muslim,0.5097075073739546,False
kamala,first,F,Hindu,ALL,49658.0,marker_list,Hindu,0.9830621903213056,False
nisha,first,F,Hindu,ALL,45533.0,marker_list,Hindu,0.5903523418217109,False
priya,first,F,Hindu,ALL,41641.0,ojas_list;marker_list,Hindu,0.9668628492383138,False
rekha,first,F,Hindu,ALL,36566.0,ojas_list;marker_list,Muslim,0.6311044970163033,False
savitri,first,F,Hindu,ALL,35703.0,marker_list,Hindu,0.8622652575279053,False
shanti,first,F,Hindu,ALL,33757.0,marker_list,Hindu,0.6052495305906331,False
soumya,first,F,Hindu,ALL,32356.0,ojas_list,Hindu,0.8434107328877379,False
radhika,first,F,Hindu,ALL,26172.0,ojas_list,Hindu,0.99816519342409,False
archana,first,F,Hindu,ALL,24286.0,ojas_list,Hindu,0.937911095664218,False
sushila,first,F,Hindu,ALL,23773.0,marker_list,Hindu,0.9474469518172094,False
sarita,first,F,Hindu,ALL,17579.0,marker_list,Hindu,0.9614930810211418,False
meera,first,F,Hindu,ALL,17288.0,ojas_list,Muslim,0.8410363158791148,False
madhuri,first,F,Hindu,ALL,11479.0,ojas_list,Hindu,0.9863560799324284,False
swati,first,F,Hindu,ALL,11365.0,ojas_list;marker_list,Hindu,0.9890712099703473,False
vandana,first,F,Hindu,ALL,10203.0,ojas_list,Hindu,0.9945828122912638,False
kavita,first,F,Hindu,ALL,9100.0,marker_list,Hindu,0.9895048682298054,False
shalini,first,F,Hindu,ALL,7924.0,ojas_list,Hindu,0.9297049367664106,False
kavya,first,F,Hindu,ALL,6550.0,ojas_list,Hindu,0.9721067559910226,False
sarika,first,F,Hindu,ALL,5051.0,marker_list,Hindu,0.8268276654304294,False
isha,first,F,Hindu,ALL,4225.0,ojas_list,Hindu,0.9686620669869402,False
charu,first,F,Hindu,ALL,3551.0,ojas_list,Hindu,0.9334920326810512,False
aditi,first,F,Hindu,ALL,2840.0,ojas_list,Hindu,0.9698374494339876,False
shreya,first,F,Hindu,ALL,2225.0,ojas_list,Hindu,0.8751862593014728,False
aishwarya,first,F,Hindu,ALL,1969.0,ojas_list,Hindu,0.9909818739172144,False
namrata,first,F,Hindu,ALL,1792.0,ojas_list,Hindu,0.9963639375978846,False
shruti,first,F,Hindu,ALL,1541.0,ojas_list,Hindu,0.9953079033885612,False
tanvi,first,F,Hindu,ALL,1375.0,ojas_list,Hindu,0.9667630405586366,False
meghna,first,F,Hindu,ALL,1264.0,ojas_list,Hindu,0.985542530097036,False
harini,first,F,Hindu,ALL,1127.0,ojas_list,Hindu,0.9857722717913546,False
kirti,first,F,Hindu,ALL,923.0,ojas_list,Hindu,0.9759413064028664,False
ritika,first,F,Hindu,ALL,867.0,ojas_list,Hindu,0.9843115058690708,False
sanya,first,F,Hindu,ALL,855.0,ojas_list,Hindu,0.9817305687309796,False
bhavna,first,F,Hindu,ALL,809.0,ojas_list,Hindu,0.9860031010092202,False
ananya,first,F,Hindu,ALL,751.0,ojas_list,Hindu,0.9722106001302324,False
ishita,first,F,Hindu,ALL,713.0,ojas_list,Hindu,0.9932727084971278,False
anil,first,M,Hindu,ALL,1318402.0,ojas_list;marker_list,Hindu,0.8613028596944624,False
vijay,first,M,Hindu,ALL,1254574.0,ojas_list;marker_list,Hindu,0.8814198627171111,False
ajay,first,M,Hindu,ALL,1059238.0,ojas_list,Hindu,0.6395952548696557,False
deepak,first,M,Hindu,ALL,935293.0,ojas_list,Hindu,0.96774398394281,False
ravi,first,M,Hindu,ALL,602103.0,ojas_list;marker_list,Hindu,0.9805387893619394,False
neeraj,first,M,Hindu,ALL,448454.0,ojas_list,Hindu,0.6813638141103233,False
arjun,first,M,Hindu,ALL,445897.0,ojas_list;marker_list,Hindu,0.9552976385129514,False
sunil,first,M,Hindu,ALL,326308.0,ojas_list;marker_list,Hindu,0.9305438172376288,False
abhishek,first,M,Hindu,ALL,306844.0,ojas_list,Hindu,0.6288834392150802,False
vikram,first,M,Hindu,ALL,257689.0,ojas_list;marker_list,Hindu,0.8654095390500454,False
suresh,first,M,Hindu,ALL,251744.0,ojas_list;marker_list,Hindu,0.4660086822946248,False
naveen,first,M,Hindu,ALL,237494.0,ojas_list,Hindu,0.94194156871702,False
vivek,first,M,Hindu,ALL,236384.0,ojas_list,Hindu,0.890544381169368,False
rajesh,first,M,Hindu,ALL,192209.0,ojas_list;marker_list,Christian,0.4990868450899512,False
ramesh,first,M,Hindu,ALL,180367.0,ojas_list;marker_list,Hindu,0.896938278968037,False
sandeep,first,M,Hindu,ALL,158961.0,ojas_list,Hindu,0.9776960575367556,False
ashok,first,M,Hindu,ALL,139765.0,marker_list,Hindu,0.9983322561324464,False
manoj,first,M,Hindu,ALL,110164.0,marker_list,Christian,0.7055161883747811,False
mahesh,first,M,Hindu,ALL,100151.0,ojas_list;marker_list,Hindu,0.9958644183445812,False
sanjay,first,M,Hindu,ALL,97929.0,marker_list,Hindu,0.997509499939254,False
nikhil,first,M,Hindu,ALL,67199.0,ojas_list,Hindu,0.8168948142328953,False
amit,first,M,Hindu,ALL,65246.0,ojas_list;marker_list,Hindu,0.9203524606840118,False
manish,first,M,Hindu,ALL,60280.0,ojas_list,Hindu,0.7305871579540799,False
mukesh,first,M,Hindu,ALL,54222.0,marker_list,Hindu,0.994604854237444,False
anand,first,M,Hindu,ALL,49568.0,ojas_list,Hindu,0.9995694032925746,False
prakash,first,M,Hindu,ALL,43536.0,ojas_list,Hindu,0.9238608520587108,False
naresh,first,M,Hindu,ALL,38638.0,marker_list,Hindu,0.9927311905513272,False
rahul,first,M,Hindu,ALL,36961.0,ojas_list,Hindu,0.9630540941565132,False
dinesh,first,M,Hindu,ALL,32254.0,marker_list,Hindu,0.929098327594768,False
varun,first,M,Hindu,ALL,30434.0,ojas_list,Christian,0.9055247801281427,False
rakesh,first,M,Hindu,ALL,30273.0,ojas_list;marker_list,Hindu,0.9786787611041416,False
harish,first,M,Hindu,ALL,26448.0,ojas_list,Hindu,0.972067241375654,False
gaurav,first,M,Hindu,ALL,25896.0,ojas_list,Hindu,0.99771648637254,False
ankit,first,M,Hindu,ALL,18628.0,ojas_list,Hindu,0.9887917818220634,False
pranav,first,M,Hindu,ALL,16595.0,ojas_list,Hindu,0.9882553095087466,False
akash,first,M,Hindu,ALL,16005.0,ojas_list,Hindu,0.8833610380687494,False
rohit,first,M,Hindu,ALL,13600.0,ojas_list;marker_list,Hindu,0.9888845965126276,False
vishal,first,M,Hindu,ALL,12590.0,ojas_list,Hindu,0.9953525400779846,False
tarun,first,M,Hindu,ALL,10585.0,ojas_list,Hindu,0.9616250971394448,False
karthik,first,M,Hindu,ALL,9054.0,ojas_list,Hindu,0.8931509550677793,False
saurabh,first,M,Hindu,ALL,7915.0,ojas_list,Hindu,0.9775908089522454,False
aditya,first,M,Hindu,ALL,7590.0,ojas_list,Hindu,0.954825079305048,False
shivam,first,M,Hindu,ALL,5573.0,ojas_list,Hindu,0.9978491465850372,False
yash,first,M,Hindu,ALL,5246.0,ojas_list,Christian,0.60890955927161,False
siddharth,first,M,Hindu,ALL,4540.0,ojas_list,Hindu,0.8921662883478336,False
rohan,first,M,Hindu,ALL,3195.0,ojas_list,Hindu,0.9099958933387085,False
ritesh,first,M,Hindu,ALL,2837.0,ojas_list,Hindu,0.9306742277435922,False
ashwin,first,M,Hindu,ALL,2161.0,ojas_list,Hindu,0.789087767371721,False
chirag,first,M,Hindu,ALL,1726.0,ojas_list,Hindu,0.9869769604443438,False
kunal,first,M,Hindu,ALL,710.0,ojas_list,Christian,0.6591062936992836,False
preethi,first,F,Christian,ALL,485677.0,ojas_list,Hindu,0.7102779341613237,False
mary,first,F,Christian,ALL,110165.0,ojas_list;marker_list,Christian,0.8022388606850772,False
bindu,first,F,Christian,ALL,99801.0,ojas_list,Hindu,0.9915805284677448,False
seema,first,F,Christian,ALL,70086.0,ojas_list,Muslim,0.6463338574046273,False
beena,first,F,Christian,ALL,49986.0,ojas_list,Hindu,0.7311960981906638,False
sonia,first,F,Christian,ALL,35804.0,ojas_list,Hindu,0.8189642692802662,False
reena,first,F,Christian,ALL,30817.0,ojas_list,Hindu,0.9646365053761636,False
maria,first,F,Christian,ALL,18687.0,marker_list,Christian,0.9999788360458636,False
sheena,first,F,Christian,ALL,17549.0,ojas_list,Hindu,0.7506489680752212,False
lissy,first,F,Christian,ALL,17381.0,ojas_list,Christian,0.9872282264139464,False
annie,first,F,Christian,ALL,16910.0,ojas_list,Christian,0.7606777089721135,False
jessy,first,F,Christian,ALL,16445.0,ojas_list;marker_list,Christian,0.981437001699792,False
anna,first,F,Christian,ALL,11931.0,marker_list,Hindu,0.996315233603442,False
elizabeth,first,F,Christian,ALL,10740.0,ojas_list;marker_list,Christian,0.5903643783195232,False
ann,first,F,Christian,ALL,10570.0,ojas_list,Hindu,0.9881813787533256,False
shiny,first,F,Christian,ALL,9821.0,ojas_list,Hindu,0.7923066302854378,False
bincy,first,F,Christian,ALL,9795.0,marker_list,Hindu,0.5019222377511284,False
susan,first,F,Christian,ALL,8382.0,ojas_list;marker_list,Hindu,0.7437815999259164,False
sherin,first,F,Christian,ALL,7906.0,ojas_list;marker_list,Hindu,0.7732417837382953,False
alphonsa,first,F,Christian,ALL,6850.0,ojas_list;marker_list,Christian,0.971983430514946,False
helen,first,F,Christian,ALL,5478.0,ojas_list,Hindu,0.6638036868337831,False
esther,first,F,Christian,ALL,4691.0,ojas_list,Christian,0.5858494725077816,False
monica,first,F,Christian,ALL,4578.0,ojas_list,Hindu,0.6520998245537853,False
rincy,first,F,Christian,ALL,3790.0,ojas_list;marker_list,Christian,0.8690421947532928,False
grace,first,F,Christian,ALL,3388.0,ojas_list,Hindu,0.5304592099867804,False
ruth,first,F,Christian,ALL,3275.0,ojas_list,Hindu,0.773715312415844,False
tessy,first,F,Christian,ALL,3077.0,ojas_list,Christian,0.9668391164066034,False
celine,first,F,Christian,ALL,2930.0,ojas_list,Christian,0.7165555476981549,False
rachel,first,F,Christian,ALL,2312.0,ojas_list,Christian,0.9486897268688996,False
merlin,first,F,Christian,ALL,2075.0,ojas_list,Hindu,0.8844779492250137,False
rebecca,first,F,Christian,ALL,2070.0,ojas_list,Hindu,0.6860202407799786,False
clara,first,F,Christian,ALL,2021.0,ojas_list,Hindu,0.8648155700565174,False
sophia,first,F,Christian,ALL,1819.0,ojas_list,Christian,0.7670088024314318,False
conceicao,first,F,Christian,ALL,1555.0,marker_list,Christian,0.997954484336902,False
diana,first,F,Christian,ALL,1538.0,ojas_list,Hindu,0.9500604718347484,False
gloria,first,F,Christian,ALL,1447.0,ojas_list,Christian,0.8485325105549738,False
filomena,first,F,Christian,ALL,1406.0,marker_list,Hindu,0.7911938994346294,False
teresa,first,F,Christian,ALL,1188.0,ojas_list,Hindu,0.7434210844348976,False
irene,first,F,Christian,ALL,1040.0,ojas_list,Hindu,0.7369495988082228,False
jennifer,first,F,Christian,ALL,948.0,ojas_list,Muslim,0.6552417034016726,False
lydia,first,F,Christian,ALL,802.0,ojas_list,Hindu,0.7865646124024249,False
cynthia,first,F,Christian,ALL,578.0,ojas_list,Christian,0.5295994809877139,False
flory,first,F,Christian,ALL,549.0,ojas_list,Christian,0.4627065342291897,False
roseline,first,F,Christian,ALL,317.0,ojas_list,Christian,0.99500476181814,False
melanie,first,F,Christian,ALL,118.0,ojas_list,Hindu,0.5207125881714247,False
joanna,first,F,Christian,ALL,103.0,ojas_list,Hindu,0.7204626673383971,False
joseph,first,M,Christian,ALL,88458.0,ojas_list;marker_list,Christian,0.999999973582924,False
thomas,first,M,Christian,ALL,76162.0,ojas_list;marker_list,Christian,0.9999996556702168,False
biju,first,M,Christian,ALL,69774.0,ojas_list,Hindu,0.7133568014761072,False
shaji,first,M,Christian,ALL,52104.0,ojas_list,Christian,0.9929528926318756,False
jose,first,M,Christian,ALL,50498.0,marker_list,Christian,0.999998785395809,False
john,first,M,Christian,ALL,48564.0,ojas_list,Christian,0.988333216932041,False
binu,first,M,Christian,ALL,48075.0,ojas_list,Hindu,0.7044080574440801,False
mathew,first,M,Christian,ALL,38720.0,ojas_list;marker_list,Christian,0.9999609716634612,False
abraham,first,M,Christian,ALL,22841.0,marker_list,Christian,0.9972659364815554,False
jacob,first,M,Christian,ALL,18327.0,marker_list,Christian,0.9991496919207316,False
samuel,first,M,Christian,ALL,12300.0,ojas_list,Christian,0.9949875191414016,False
peter,first,M,Christian,ALL,9749.0,ojas_list,Christian,0.8854919898793436,False
jijo,first,M,Christian,ALL,8548.0,ojas_list,Hindu,0.6080645706283234,False
joby,first,M,Christian,ALL,8398.0,ojas_list,Christian,0.7813774557581937,False
anthony,first,M,Christian,ALL,8382.0,ojas_list,Christian,0.9997320441702624,False
xavier,first,M,Christian,ALL,7790.0,ojas_list;marker_list,Christian,0.8305508675288512,False
sijo,first,M,Christian,ALL,7548.0,ojas_list,Hindu,0.5585661595849161,False
alex,first,M,Christian,ALL,7471.0,marker_list,Christian,0.4608524148792127,False
vincent,first,M,Christian,ALL,7149.0,ojas_list,Christian,0.9787137097808172,False
daniel,first,M,Christian,ALL,5992.0,ojas_list,Christian,0.9939652725927692,False
justin,first,M,Christian,ALL,5023.0,ojas_list,Christian,0.602938886418333,False
antonio,first,M,Christian,ALL,3364.0,marker_list,Christian,0.9121203599090424,False
lawrence,first,M,Christian,ALL,2980.0,ojas_list,Christian,0.9586614911699506,False
francisco,first,M,Christian,ALL,2772.0,marker_list,Christian,0.9996984870103652,False
nathan,first,M,Christian,ALL,2769.0,ojas_list,Hindu,0.9919085327165066,False
tom,first,M,Christian,ALL,2745.0,marker_list,Muslim,0.4060960060100105,False
joel,first,M,Christian,ALL,2505.0,ojas_list,Christian,0.7106805627959611,False
kevin,first,M,Christian,ALL,2018.0,ojas_list,Hindu,0.838291057966658,False
andrew,first,M,Christian,ALL,1991.0,ojas_list,Hindu,0.8972944221688891,False
agnelo,first,M,Christian,ALL,1840.0,marker_list,Hindu,0.5004612831577736,False
melvin,first,M,Christian,ALL,1702.0,ojas_list,Christian,0.8191810283984844,False
tijo,first,M,Christian,ALL,1699.0,ojas_list,Hindu,0.8732204349178876,False
savio,first,M,Christian,ALL,1631.0,ojas_list;marker_list,Christian,0.9621097094516754,False
wilfred,first,M,Christian,ALL,740.0,ojas_list,Hindu,0.5198281258262106,False
aaron,first,M,Christian,ALL,563.0,ojas_list,Christian,0.799278062966211,False
jerome,first,M,Christian,ALL,515.0,ojas_list,Hindu,0.7769501113850585,False
ivan,first,M,Christian,ALL,371.0,ojas_list,Hindu,0.998982460762507,False
ryan,first,M,Christian,ALL,323.0,ojas_list,Hindu,0.9685722791821244,False
denzil,first,M,Christian,ALL,278.0,ojas_list,Muslim,0.5595405713106318,False
clifford,first,M,Christian,ALL,241.0,ojas_list,Muslim,0.9789758969619636,False
neil,first,M,Christian,ALL,236.0,ojas_list,Hindu,0.4832843466273073,False
terence,first,M,Christian,ALL,226.0,ojas_list,Christian,0.9177305927646155,False
cajetan,first,M,Christian,ALL,219.0,ojas_list,Hindu,0.952930057575484,False
malcolm,first,M,Christian,ALL,205.0,ojas_list,Hindu,0.6076848976622247,False
adrian,first,M,Christian,ALL,179.0,ojas_list,Christian,0.8268108738878805,False
gerald,first,M,Christian,ALL,177.0,ojas_list,Hindu,0.9156033337774984,False
neville,first,M,Christian,ALL,140.0,ojas_list,Christian,0.7321216229649692,False
alwyn,first,M,Christian,ALL,137.0,ojas_list,Hindu,0.8506059761886013,False
trevor,first,M,Christian,ALL,136.0,ojas_list,Hindu,0.9269882315681603,False
conrad,first,M,Christian,ALL,110.0,ojas_list,Hindu,0.6627593465752728,False
paramajeeth,first,F,Sikh,ALL,340319.0,marker_list,Hindu,0.983664545549791,False
manajeeth,first,F,Sikh,ALL,328713.0,marker_list,Hindu,0.9000059058715489,False
gurameeth,first,F,Sikh,ALL,231361.0,marker_list,Hindu,0.9702725505552628,False
jasaviadar,first,F,Sikh,ALL,179451.0,marker_list,Hindu,0.9122287359320496,False
sarabajeeth,first,F,Sikh,ALL,166483.0,marker_list,Hindu,0.8261912589762943,False
amanadeep,first,F,Sikh,ALL,154206.0,marker_list,Hindu,0.9594603407616802,False
kulaviadar,first,F,Sikh,ALL,153025.0,marker_list,Hindu,0.9849903943319508,False
manapreeth,first,F,Sikh,ALL,150655.0,marker_list,Hindu,0.6793655669557591,False
charanajeeth,first,F,Sikh,ALL,131444.0,marker_list,Hindu,0.9748557188000704,False
karamajeeth,first,F,Sikh,ALL,110425.0,marker_list,Hindu,0.9899729881629714,False
jasapreeth,first,F,Sikh,ALL,67994.0,marker_list,Christian,0.7084917993169397,False
manpreet,first,F,Sikh,ALL,3935.0,ojas_list,Hindu,0.947780837090481,False
simran,first,F,Sikh,ALL,3339.0,ojas_list,Hindu,0.7483751720648939,False
jasleen,first,F,Sikh,ALL,1034.0,ojas_list,Muslim,0.7991086927477525,False
harleen,first,F,Sikh,ALL,670.0,ojas_list,Hindu,0.5979172997667036,False
rupinder,first,F,Sikh,ALL,649.0,ojas_list,Hindu,0.7230981043336939,False
supreet,first,F,Sikh,ALL,541.0,ojas_list,Hindu,0.8761846044787474,False
baljinder,first,F,Sikh,ALL,323.0,ojas_list,Hindu,0.4311793483869347,False
jasneet,first,F,Sikh,ALL,188.0,ojas_list,Hindu,0.4653375902034874,False
gurinder,first,F,Sikh,ALL,119.0,ojas_list,Hindu,0.511753122940666,False
gurleen,first,F,Sikh,ALL,116.0,ojas_list,Hindu,0.8297873337185221,False
kuladeep,first,M,Sikh,ALL,487723.0,marker_list,Hindu,0.9858056030039368,False
ranajeeth,first,M,Sikh,ALL,318971.0,marker_list,Hindu,0.93112965743411,False
gurapreeth,first,M,Sikh,ALL,203476.0,marker_list,Hindu,0.917835219848803,False
sukhadev,first,M,Sikh,ALL,191626.0,marker_list,Buddhist,0.997352608008814,False
balaveer,first,M,Sikh,ALL,176032.0,marker_list,Hindu,0.8615688027221676,False
guradeep,first,M,Sikh,ALL,109561.0,marker_list,Hindu,0.9880460674293176,False
rajiadar,first,M,Sikh,ALL,85709.0,marker_list,Hindu,0.9831559585552933,False
lakhaviadar,first,M,Sikh,ALL,75441.0,marker_list,Hindu,0.9726546747700198,False
ranjit,first,M,Sikh,ALL,9679.0,ojas_list,Hindu,0.9532247030104796,False
